GeoCode,Country,Indicator,Year,Value,Unit
AS,American Samoa,Sea Surface Temperature anomalies,1850,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1851,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1852,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1853,0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1854,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1855,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1856,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1857,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1858,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1859,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1860,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1861,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1862,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1863,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1864,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1865,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1866,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1867,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1868,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1869,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1870,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1871,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1872,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1873,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1874,0.0,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1875,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1876,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1877,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1878,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1879,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1880,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1881,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1882,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1883,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1884,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1885,-0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1886,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1887,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1888,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1889,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1890,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1891,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1892,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1893,-0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1894,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1895,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1896,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1897,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1898,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1899,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1900,0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1901,0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1902,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1903,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1904,-0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1905,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1906,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1907,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1908,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1909,-0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1910,-0.7,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1911,-0.6,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1912,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1913,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1914,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1915,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1916,-0.2,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1917,-0.8,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1918,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1919,-0.8,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1920,-0.5,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1921,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1922,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1923,-0.4,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1924,-0.1,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1925,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1926,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1927,-0.3,Celsius (°C)
AS,American Samoa,Sea Surface Temperature anomalies,1928,-0.2,Celsius (°C)
